PlayerName,PlayerRating
NumberOfRounds,145
WarmongerBot BountyHunter,1196.21
NoFilter ComparingCollectorBot,1156.21
WarmongerBot ComparingHoarderBot,1148.13
NoFilter BountyHunter,1143.06
BishopBudger BountyHunter,1107.22
KnightKnocker BountyHunter,1105.65
WarmongerBot ComparingCollectorBot,1076.86
KnightKnocker ComparingCollectorBot,1073.53
NoFilter ComparingHoarderBot,1025.34
QueenQuarreler ComparingCollectorBot,1015.11
WarmongerBot HoarderEvaluatorBot,979.43
BishopBudger ComparingCollectorBot,971.53
WarmongerBot RandomMoveBot,922.56
QueenQuarreler BountyHunter,913.32
WarmongerBot CollectorEvaluatorBot,911.25
PawnPusher ComparingCollectorBot,872.09
BishopBudger ComparingHoarderBot,843.44
QueenQuarreler ComparingHoarderBot,728.0
KylesWeighting,727.86
KnightKnocker ComparingHoarderBot,702.17
PawnPusher BountyHunter,687.36
PawnPusher ComparingHoarderBot,670.97
NoFilter Bully,621.79
RookRelocator ComparingCollectorBot,545.63
KingKicker ComparingCollectorBot,455.28
RookRelocator BountyHunter,454.2
WarmongerBot Bully,450.72
PawnPusher Bully,439.96
QueenQuarreler Bully,433.12
KingKicker BountyHunter,422.57
RookRelocator ComparingHoarderBot,407.35
KnightKnocker Bully,406.02
BishopBudger Bully,341.75
KingKicker ComparingHoarderBot,335.21
BishopBudger RandomMoveBot,300.06
KnightKnocker CollectorEvaluatorBot,288.03
KnightKnocker HoarderEvaluatorBot,283.25
QueenQuarreler CollectorEvaluatorBot,279.05
ChampionBot ComparingCollectorBot,257.89
BishopBudger HoarderEvaluatorBot,254.0
ChampionBot BountyHunter,251.37
QueenQuarreler RandomMoveBot,251.02
RookRelocator Bully,246.55
BishopBudger CollectorEvaluatorBot,244.83
KingKicker Bully,226.05
KingKicker RandomMoveBot,198.78
QueenQuarreler HoarderEvaluatorBot,198.38
KnightKnocker RandomMoveBot,197.81
KingKicker CollectorEvaluatorBot,172.97
RookRelocator HoarderEvaluatorBot,161.04
BasicBot,140.94
KingKicker HoarderEvaluatorBot,75.68
RookRelocator CollectorEvaluatorBot,71.82
PawnPusher CollectorEvaluatorBot,63.19
RookRelocator RandomMoveBot,51.03
ChampionBot ComparingHoarderBot,45.77
PawnPusher RandomMoveBot,33.12
PawnPusher HoarderEvaluatorBot,13.74
ChampionBot CollectorEvaluatorBot,7.88
NoFilter CollectorEvaluatorBot,3.69
Pacifist RandomMoveBot,0.43
NoFilter RandomMoveBot,-2.25
NoFilter HoarderEvaluatorBot,-15.69
ChampionBot Bully,-22.74
ChampionBot HoarderEvaluatorBot,-29.11
ChampionBot RandomMoveBot,-89.25
